Year,Arrivals,1st Quarter(Jan-Mar),2nd Quarter(Apr-June),3rd Quarter(July-Sep),4th Quarter(Oct-Dec)
2011,6309222,28.3,19.6,20.9,31.2
2012,6577745,29.8,19.1,20.5,30.6
2013,6967601,29.4,18.9,20.8,30.9
2014,7679099,28.7,19.6,21.5,30.2
2015,8027133,28.4,19.5,22.1,30.0
2016,8804411,28.4,18.9,22.6,30.0
2017,10035803,27.7,20.0,22.1,30.2
2018,10557976,29.5,19.2,21.9,29.3
2019,10930355,29.1,19.4,21.7,29.9
2020,2744766,91.0,1.0,2.0,6.0
2021,1527114,22.2,8.8,18.4,50.6
2022,6437467,12.9,21.8,27.1,38.2
2023,9520928,27.4,20.1,22.2,30.3
